ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0045165	cell fate commitment	222	0.524166834165445	2.07433792866775	1e-10	7.846e-07	7.53473684210526e-07	2230	tags=26%, list=9%, signal=23%	TBX5/MYT1L/OLIG3/TBX1/GDF7/ASCL1/ONECUT1/OLIG2/GDF3/SOX1/NFIA/NODAL/WNT8A/TBX15/OLIG1/MESP1/TAL1/FGF10/PROX1/IL6R/TBX3/DLL1/WNT7A/MEF2C/GATA5/WNT5B/POU3F2/HEY2/WNT5A/DBX1/PPARG/CHD3/WNT3/GATA2/NR2F2/EYA1/KDR/KLF4/NANOG/SOSTDC1/SOX9/WNT7B/SPRY2/GAP43/ISL2/EPOP/WNT10B/GATA4/DLL4/FOXA1/LMO4/PDPN/JAG1/BCL11B/IL23A/ERBB4/POU4F1
BP	GO:0001708	cell fate specification	82	0.641256678953688	2.20275223786742	1.07449941450599e-08	4.21526120310698e-05	4.04803516264939e-05	1765	tags=27%, list=7%, signal=25%	TBX5/MYT1L/OLIG3/TBX1/ASCL1/OLIG2/SOX1/NFIA/NODAL/TBX15/MESP1/TBX3/DLL1/POU3F2/DBX1/CHD3/EYA1/NANOG/SOX9/ISL2/FOXA1/LMO4
BP	GO:0022904	respiratory electron transport chain	110	0.557154776980061	1.99773963644419	1.39077021675912e-07	0.000363732770689735	0.000349302919703922	7285	tags=61%, list=31%, signal=43%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/PINK1/NDUFA3/NDUFA1/CHCHD2/COX7B/MT-CYB/COX6B1/MT-CO2/COX5B/PPARGC1A/AIFM2/NDUFB4/MT-CO3/NDUFA8/UQCR10/NDUFB3/NDUFA2/NDUFA7/ETFB/NDUFS5/UQCRFS1P1/NDUFB2/GBA1/SNCA/MT-ND2/COX6C/MT-ND4L/NDUFB7/NDUFS6/MT-ND4/UQCRB/NDUFS3/SLC25A51/SDHA/NDUFA12/NDUFA5/UQCRH/NDUFS4/MT-ND1/COX5A/NDUFC1/UQCRHL/COX7A2/NDUFB8/NDUFA6/COA6/NDUFA4/NDUFB10/MT-ND5/GHITM/COX8C/ISCU/NDUFB9/COQ9/ETFRF1/MT-CO1/NDUFAB1/COX8A/NDUFV3/NDUFAF1/NDUFV1/SDHC/NDUFA9
BP	GO:0042773	ATP synthesis coupled electron transport	94	0.577770523873064	2.01247700558859	4.11846707776542e-07	0.000397210354051117	0.000381452394689603	7779	tags=69%, list=33%, signal=47%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/PINK1/NDUFA3/NDUFA1/CHCHD2/COX7B/MT-CYB/COX6B1/MT-CO2/COX5B/NDUFB4/MT-CO3/NDUFA8/UQCR10/NDUFB3/NDUFA2/NDUFA7/NDUFS5/UQCRFS1P1/NDUFB2/SNCA/MT-ND2/COX6C/MT-ND4L/NDUFB7/NDUFS6/MT-ND4/UQCRB/NDUFS3/SDHA/NDUFA12/NDUFA5/UQCRH/NDUFS4/MT-ND1/COX5A/NDUFC1/UQCRHL/COX7A2/NDUFB8/NDUFA6/COA6/NDUFA4/NDUFB10/MT-ND5/GHITM/COX8C/ISCU/NDUFB9/COQ9/MT-CO1/NDUFAB1/COX8A/NDUFV3/NDUFAF1/NDUFV1/SDHC/NDUFA9/NDUFB5/NDUFB6/UQCRFS1/NDUFS2
BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	94	0.577770523873064	2.01247700558859	4.11846707776542e-07	0.000397210354051117	0.000381452394689603	7779	tags=69%, list=33%, signal=47%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/PINK1/NDUFA3/NDUFA1/CHCHD2/COX7B/MT-CYB/COX6B1/MT-CO2/COX5B/NDUFB4/MT-CO3/NDUFA8/UQCR10/NDUFB3/NDUFA2/NDUFA7/NDUFS5/UQCRFS1P1/NDUFB2/SNCA/MT-ND2/COX6C/MT-ND4L/NDUFB7/NDUFS6/MT-ND4/UQCRB/NDUFS3/SDHA/NDUFA12/NDUFA5/UQCRH/NDUFS4/MT-ND1/COX5A/NDUFC1/UQCRHL/COX7A2/NDUFB8/NDUFA6/COA6/NDUFA4/NDUFB10/MT-ND5/GHITM/COX8C/ISCU/NDUFB9/COQ9/MT-CO1/NDUFAB1/COX8A/NDUFV3/NDUFAF1/NDUFV1/SDHC/NDUFA9/NDUFB5/NDUFB6/UQCRFS1/NDUFS2
BP	GO:0022900	electron transport chain	119	0.535869371021649	1.95132412340787	4.2245634193472e-07	0.000397210354051117	0.000381452394689603	7285	tags=57%, list=31%, signal=40%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/PINK1/NDUFA3/NDUFA1/CHCHD2/COX7B/MT-CYB/COX6B1/MT-CO2/DHRS2/COX5B/PPARGC1A/AIFM2/NDUFB4/MT-CO3/NDUFA8/UQCR10/NDUFB3/NDUFA2/NDUFA7/ETFB/NDUFS5/UQCRFS1P1/NDUFB2/GBA1/SNCA/MT-ND2/COX6C/MT-ND4L/NDUFB7/NDUFS6/MT-ND4/UQCRB/NDUFS3/SLC25A51/SDHA/NDUFA12/NDUFA5/UQCRH/NDUFS4/MT-ND1/COX5A/NDUFC1/UQCRHL/COX7A2/NDUFB8/NDUFA6/COA6/NDUFA4/NDUFB10/MT-ND5/GHITM/COX8C/ISCU/NDUFB9/COQ9/ETFRF1/MT-CO1/NDUFAB1/COX8A/NDUFV3/NDUFAF1/NDUFV1/SDHC/NDUFA9
BP	GO:0006119	oxidative phosphorylation	142	0.51863220150517	1.94556068140583	3.98408884846629e-07	0.000397210354051117	0.000381452394689603	6870	tags=54%, list=29%, signal=38%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/ATP5ME/PINK1/NDUFA3/MT-ATP8/NDUFA1/CHCHD2/CHCHD10/COX7B/MT-CYB/COX6B1/MT-CO2/COX5B/ATP5F1EP2/NDUFB4/MT-CO3/ATP5PD/NDUFA8/UQCR10/NDUFB3/NDUFA2/NDUFA7/ATP5IF1/NDUFS5/UQCRFS1P1/NDUFB2/MACROH2A1/SNCA/MT-ND2/AK4/COX6C/MT-ND4L/NDUFB7/NDUFS6/MT-ND4/UQCRB/ATP5MF/NDUFS3/SLC25A51/SDHA/NDUFA12/NDUFA5/NIPSNAP2/ATPSCKMT/UQCRH/NDUFS4/NDUFB11/MT-ND1/COX5A/NDUFC1/UQCRHL/SLC25A23/COX7A2/NDUFB8/ATP5PF/NDUFA6/COA6/NDUFA4/MT-ATP6/NDUFB10/MT-ND5/GHITM/COX8C/ANTKMT/NUPR1/ISCU/NDUFB9/COQ9/ATP7A/MT-CO1/NDUFAB1/COX8A/NDUFV3
CC	GO:0030017	sarcomere	180	-0.508607370360565	-1.91850330162281	5.28237111000564e-07	0.000397210354051117	0.000381452394689603	3587	tags=27%, list=15%, signal=23%	TMOD1/TNNC2/TNNT1/FBXO32/JPH1/LMAN1/SYNC/LDB3/LMOD1/DES/SCN5A/MYOZ1/PARVB/SYNPO2/FHOD3/MYOM3/MYZAP/PDLIM2/TNNI3/TRIM54/PDE4B/SYNPO/HRC/TPM1/MYH6/MYBPC2/CACNA1D/SLC4A1/ACTC1/PDLIM1/ASB2/FBP2/JPH2/KRT19/RYR2/NEBL/MYL4/SMTNL1/TNNI1/UNC45B/TNNC1/PDLIM3/STYXL2/MYL3/CRYAB/MYH2/TTN/ACTA1/MYL9
CC	GO:0030016	myofibril	200	-0.486068259065179	-1.84584643748483	4.89285474258377e-07	0.000397210354051117	0.000381452394689603	3587	tags=26%, list=15%, signal=22%	TMOD1/TNNC2/TNNT1/FBXO32/JPH1/LMAN1/SYNC/LDB3/LMOD1/DES/SCN5A/MYOZ1/PARVB/SYNPO2/FHOD3/MYOM3/MYZAP/MYOD1/PDLIM2/TNNI3/AHNAK/TRIM54/PDE4B/SYNPO/HRC/TPM1/MYH6/MYBPC2/CACNA1D/SLC4A1/ACTC1/PDLIM1/ASB2/FBP2/JPH2/KRT19/RYR2/NEBL/MYL4/SMTNL1/TNNI1/UNC45B/TNNC1/PDLIM3/STYXL2/MYL3/CRYAB/MYH2/TTN/ACTA1/MYL9
BP	GO:0009060	aerobic respiration	190	0.468290639158588	1.82173653137705	5.56884258802229e-07	0.000397210354051117	0.000381452394689603	6870	tags=47%, list=29%, signal=34%	MTCO2P12/NDP/MT-ND3/DNAJC15/UCN/NDUFB1/ATP5ME/PINK1/SLC25A14/NDUFA3/MT-ATP8/NDUFA1/CHCHD2/COL6A1/CHCHD10/COX7B/MT-CYB/COX6B1/MT-CO2/COX5B/ATP5F1EP2/NDUFB4/MT-CO3/ATP5PD/NDUFA8/UQCR10/NDUFB3/NNT/NDUFA2/NDUFA7/ATP5IF1/NDUFS5/UQCRFS1P1/MDH1B/NDUFB2/MACROH2A1/SNCA/MT-ND2/AK4/COX6C/MT-ND4L/NDUFB7/BNIP3/IDH3A/NDUFS6/MT-ND4/UQCRB/ATP5MF/SUCLG1/NDUFS3/SLC25A51/SDHA/CBFA2T3/NDUFA12/NDUFA5/NIPSNAP2/ATPSCKMT/UQCRH/NDUFS4/NDUFB11/MT-ND1/IDE/COX5A/ACO2/NDUFC1/UQCRHL/SLC25A23/COX7A2/NDUFB8/ATP5PF/NDUFA6/COA6/NDUFA4/MT-ATP6/NDUFB10/MT-ND5/GHITM/COX8C/ANTKMT/NUPR1/ISCU/PDHA1/KGD4/NDUFB9/COQ9/ATP7A/MT-CO1/NDUFAB1/COX8A/NDUFV3
